backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10,index_error
bge-base,scifact,truncate(keep_dim=256),faiss-flat,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=256),faiss-ivf,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=256),faiss-ivfpq,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=256),faiss-hnsw,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=256),faiss-opq,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=512),exact-numpy,ok,0.0095,10614784,19.433504,20.681106,0.8528888888888889,0.7328845854323277,0.8040577096483319,
bge-base,scifact,truncate(keep_dim=512),faiss-flat,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=512),faiss-ivf,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=512),faiss-ivfpq,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=512),faiss-hnsw,missing_backend,,,,,,,,
bge-base,scifact,truncate(keep_dim=512),faiss-opq,missing_backend,,,,,,,,
bge-base,scifact,scalar_int8,exact-numpy,ok,0.00272,15922176,20.494085,21.38673745,0.8742222222222221,0.742289032725101,0.9962128043282236,
bge-base,scifact,scalar_int8,faiss-flat,missing_backend,,,,,,,,
bge-base,scifact,scalar_int8,faiss-ivf,missing_backend,,,,,,,,
bge-base,scifact,scalar_int8,faiss-ivfpq,missing_backend,,,,,,,,
bge-base,scifact,scalar_int8,faiss-hnsw,missing_backend,,,,,,,,
bge-base,scifact,scalar_int8,faiss-opq,missing_backend,,,,,,,,
bge-base,scifact,binary,exact-numpy,not_dense,,,,,,,,
bge-base,scifact,binary,faiss-flat,not_dense,,,,,,,,
bge-base,scifact,binary,faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,binary,faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,binary,faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,binary,faiss-opq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-opq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-flat,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-opq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-flat,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-opq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-opq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",exact-numpy,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-flat,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-opq,not_dense,,,,,,,,
