backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10
e5-base,fiqa,composed(truncate(keep_dim=128)+binary),exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,composed(truncate(keep_dim=256)+binary),exact-numpy,not_dense,,,,,,,
