backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.033164,-0.373075,-0.399436,-0.345403,0.000200,1,4,230552,0.0,0.0,0.052123,0.052123
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.028456,-0.377783,-0.404605,-0.350965,0.000200,1,4,230552,0.0,0.0,0.089935,0.089935
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.056109,-0.350130,-0.376898,-0.323143,0.000200,1,6,345828,0.0,0.0,0.090947,0.090947
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.082737,-0.323502,-0.350057,-0.297072,0.000200,1,8,461104,0.0,0.0,0.100638,0.100638
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.050977,-0.355262,-0.381185,-0.328190,0.000200,1,8,461104,0.0,0.0,0.177482,0.177482
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.113181,-0.293058,-0.318378,-0.267945,0.000200,1,12,691656,0.0,0.0,0.177958,0.177958
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.143954,-0.262284,-0.285783,-0.238363,0.000200,1,16,922208,0.0,0.0,0.199742,0.199742
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.139247,-0.266991,-0.290637,-0.242852,0.000200,1,16,922208,0.0,0.0,0.339774,0.339774
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.181159,-0.225080,-0.247452,-0.202599,0.000200,1,24,1383312,0.0,0.0,0.364786,0.364786
bge-base,fiqa,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.191981,-0.214257,-0.236531,-0.192000,0.000200,1,32,1844416,0.0,0.0,0.402600,0.402600
bge-base,fiqa,composed(truncate(keep_dim=64)+binary),0.036738,-0.369501,-0.396580,-0.342728,0.000200,1,8,461104,0.0,0.0,0.001660,0.001660
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.007101,-0.399137,-0.425999,-0.371473,0.000200,1,2,115276,0.0,0.0,0.048499,0.048499
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.019771,-0.386467,-0.414002,-0.358738,0.000200,1,3,172914,0.0,0.0,0.048618,0.048618
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.051534,-0.354705,-0.381832,-0.327803,0.000200,1,4,230552,0.0,0.0,0.055932,0.055932
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.026030,-0.380209,-0.407302,-0.352786,0.000200,1,4,230552,0.0,0.0,0.088207,0.088207
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.066495,-0.339744,-0.366544,-0.312797,0.000200,1,6,345828,0.0,0.0,0.090527,0.090527
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.098075,-0.308164,-0.333498,-0.282571,0.000200,1,8,461104,0.0,0.0,0.102024,0.102024
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.087269,-0.318970,-0.345642,-0.292450,0.000200,1,8,461104,0.0,0.0,0.176881,0.176881
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.133362,-0.272877,-0.298247,-0.247844,0.000200,1,12,691656,0.0,0.0,0.183020,0.183020
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.170046,-0.236193,-0.259211,-0.213024,0.000200,1,16,922208,0.0,0.0,0.202604,0.202604
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.158419,-0.247819,-0.271053,-0.224199,0.000200,1,16,922208,0.0,0.0,0.352586,0.352586
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.233408,-0.172830,-0.194071,-0.151888,0.000200,1,24,1383312,0.0,0.0,0.354073,0.354073
bge-base,fiqa,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.258472,-0.147767,-0.167986,-0.128092,0.000200,1,32,1844416,0.0,0.0,0.400807,0.400807
bge-base,fiqa,composed(truncate(keep_dim=128)+binary),0.085039,-0.321200,-0.346467,-0.295692,0.000200,1,16,922208,0.0,0.0,0.001829,0.001829
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.008176,-0.398062,-0.425799,-0.370092,0.000200,1,2,115276,0.0,0.0,0.053657,0.053657
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.019420,-0.386819,-0.414562,-0.358494,0.000200,1,3,172914,0.0,0.0,0.054124,0.054124
