mode,spec,bytes_per_vector,compression_ratio,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10,delta_ndcg_vs_fp32,fit_ms,encode_ms,query_latency_ms,query_p95_ms
float32,"{""name"": ""identity""}",3072,1.0,0.7016553789863023,0.8145555555555556,0.6725555555555555,0.6599900793650794,0.0,0.0,0.01716,0.02937,0.03246200000000001
float16,"{""name"": ""float16""}",1536,2.0,0.7004251448315404,0.8145555555555556,0.6708888888888889,0.6583234126984127,-0.0012302341547618667,0.0,14.06556,14.7759,14.78629
int8,"{""name"": ""scalar_int8""}",768,4.0,0.7012686585731456,0.8145555555555556,0.6724365079365079,0.6593154761904761,-0.0003867204131566826,2.05962,8.46105,6.455935,12.109573000000001
binary,"{""name"": ""binary""}",96,32.0,0.4118985136879577,0.5257777777777778,0.38516931216931216,0.3708599206349207,-0.28975686529834455,0.0,1.27529,0.91153,0.917236
"pq(M=8,nbits=8)","{""n_bits"": 8, ""n_subspaces"": 8, ""name"": ""product_quantize""}",8,384.0,0.37584872283259574,0.5528888888888889,0.3291957671957672,0.31529246031746033,-0.3258066561537065,16685.805648,847.160199,0.15440500000000001,0.1630395
"pq(M=8,nbits=4)","{""n_bits"": 4, ""n_subspaces"": 8, ""name"": ""product_quantize""}",8,384.0,0.13692309466400204,0.21949999999999997,0.117005291005291,0.10815443121693122,-0.5647322843223002,1319.164477,46.85372,0.07689,0.079587
