backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.092661,-0.363198,-0.377433,-0.349035,0.000200,1,4,34696,0.0,0.0,0.031726,0.031726
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.140462,-0.315397,-0.329935,-0.300984,0.000200,1,6,52044,0.0,0.0,0.031688,0.031688
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.182287,-0.273572,-0.287292,-0.259377,0.000200,1,8,69392,0.0,0.0,0.032067,0.032067
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.155411,-0.300448,-0.314981,-0.286408,0.000200,1,8,69392,0.0,0.0,0.062621,0.062621
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.216083,-0.239776,-0.254071,-0.226301,0.000200,1,12,104088,0.0,0.0,0.062407,0.062407
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.260922,-0.194937,-0.207354,-0.182270,0.000200,1,16,138784,0.0,0.0,0.062578,0.062578
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.243388,-0.212471,-0.225734,-0.199221,0.000200,1,16,138784,0.0,0.0,0.124105,0.124105
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.290379,-0.165480,-0.177810,-0.152880,0.000200,1,24,208176,0.0,0.0,0.123200,0.123200
bge-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.304717,-0.151141,-0.163107,-0.138420,0.000200,1,32,277568,0.0,0.0,0.124451,0.124451
bge-base,arguana,composed(truncate(keep_dim=64)+binary),0.104567,-0.351292,-0.364912,-0.337868,0.000200,1,8,69392,0.0,0.0,0.000527,0.000527
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.054738,-0.401121,-0.414368,-0.388238,0.000200,1,2,17348,0.0,0.0,0.016333,0.016333
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.134077,-0.321782,-0.337116,-0.306499,0.000200,1,3,26022,0.0,0.0,0.016321,0.016321
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.239740,-0.216119,-0.231636,-0.200671,0.000200,1,4,34696,0.0,0.0,0.016961,0.016961
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.110805,-0.345054,-0.359398,-0.330987,0.000200,1,4,34696,0.0,0.0,0.031393,0.031393
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.190312,-0.265547,-0.279940,-0.251162,0.000200,1,6,52044,0.0,0.0,0.031621,0.031621
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.259773,-0.196086,-0.209912,-0.182633,0.000200,1,8,69392,0.0,0.0,0.031891,0.031891
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.191464,-0.264395,-0.278777,-0.249866,0.000200,1,8,69392,0.0,0.0,0.062857,0.062857
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.255928,-0.199931,-0.213481,-0.186423,0.000200,1,12,104088,0.0,0.0,0.062460,0.062460
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.302314,-0.153545,-0.165534,-0.141188,0.000200,1,16,138784,0.0,0.0,0.062793,0.062793
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.266650,-0.189209,-0.202030,-0.177001,0.000200,1,16,138784,0.0,0.0,0.123138,0.123138
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.330598,-0.125260,-0.136395,-0.114428,0.000200,1,24,208176,0.0,0.0,0.123395,0.123395
bge-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.355270,-0.100589,-0.111437,-0.090118,0.000200,1,32,277568,0.0,0.0,0.124161,0.124161
bge-base,arguana,composed(truncate(keep_dim=128)+binary),0.205079,-0.250780,-0.264487,-0.236963,0.000200,1,16,138784,0.0,0.0,0.000539,0.000539
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.067630,-0.388229,-0.401698,-0.374229,0.000200,1,2,17348,0.0,0.0,0.016474,0.016474
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.166676,-0.289183,-0.305534,-0.273170,0.000200,1,3,26022,0.0,0.0,0.016161,0.016161
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.257934,-0.197925,-0.214707,-0.181069,0.000200,1,4,34696,0.0,0.0,0.017194,0.017194
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.111713,-0.344146,-0.358491,-0.329332,0.000200,1,4,34696,0.0,0.0,0.031813,0.031813
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.210088,-0.245771,-0.260958,-0.230749,0.000200,1,6,52044,0.0,0.0,0.031451,0.031451
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.298199,-0.157660,-0.171510,-0.143573,0.000200,1,8,69392,0.0,0.0,0.033085,0.033085
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.193110,-0.262749,-0.276992,-0.248585,0.000200,1,8,69392,0.0,0.0,0.063049,0.063049
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.281839,-0.174020,-0.186859,-0.160748,0.000200,1,12,104088,0.0,0.0,0.062297,0.062297
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.332929,-0.122930,-0.134337,-0.111393,0.000200,1,16,138784,0.0,0.0,0.063131,0.063131
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.288444,-0.167415,-0.179932,-0.154539,0.000200,1,16,138784,0.0,0.0,0.123481,0.123481
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.345950,-0.109909,-0.121262,-0.099117,0.000200,1,24,208176,0.0,0.0,0.123808,0.123808
bge-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.374971,-0.080888,-0.090069,-0.071362,0.000200,1,32,277568,0.0,0.0,0.125182,0.125182
bge-base,arguana,composed(truncate(keep_dim=256)+binary),0.305436,-0.150422,-0.162084,-0.138595,0.000200,1,32,277568,0.0,0.0,0.000605,0.000605
