backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10,index_error
bge-base,arguana,truncate(keep_dim=128),faiss-ivfpq,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=128),faiss-hnsw,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=128),faiss-opq,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=256),exact-numpy,ok,0.00197,8882176,33.0175295,33.4953415,0.8394004282655246,0.4317535044403701,0.7748221906116642,
bge-base,arguana,truncate(keep_dim=256),faiss-flat,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=256),faiss-ivf,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=256),faiss-ivfpq,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=256),faiss-hnsw,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=256),faiss-opq,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=512),exact-numpy,ok,0.00225,17764352,35.1175245,36.1209935,0.8650963597430407,0.4468553150941102,0.8800142247510669,
bge-base,arguana,truncate(keep_dim=512),faiss-flat,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=512),faiss-ivf,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=512),faiss-ivfpq,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=512),faiss-hnsw,missing_backend,,,,,,,,
bge-base,arguana,truncate(keep_dim=512),faiss-opq,missing_backend,,,,,,,,
bge-base,arguana,scalar_int8,exact-numpy,ok,0.00257,26646528,37.36164,57.71348894999996,0.8836545324768023,0.4571656690662262,0.9968705547652917,
bge-base,arguana,scalar_int8,faiss-flat,missing_backend,,,,,,,,
bge-base,arguana,scalar_int8,faiss-ivf,missing_backend,,,,,,,,
bge-base,arguana,scalar_int8,faiss-ivfpq,missing_backend,,,,,,,,
bge-base,arguana,scalar_int8,faiss-hnsw,missing_backend,,,,,,,,
bge-base,arguana,scalar_int8,faiss-opq,missing_backend,,,,,,,,
bge-base,arguana,binary,exact-numpy,not_dense,,,,,,,,
bge-base,arguana,binary,faiss-flat,not_dense,,,,,,,,
bge-base,arguana,binary,faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,binary,faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,binary,faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,binary,faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",faiss-opq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",exact-numpy,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",faiss-flat,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
