backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.099997,-0.287953,-0.321099,-0.255626,0.000200,1,3,10899,0.0,0.0,0.067125,0.067125
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.143093,-0.244857,-0.273362,-0.216174,0.000200,1,4,14532,0.0,0.0,0.067447,0.067447
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.096386,-0.291564,-0.323344,-0.261478,0.000200,1,4,14532,0.0,0.0,0.134423,0.134423
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.152343,-0.235608,-0.263592,-0.208117,0.000200,1,6,21798,0.0,0.0,0.132687,0.132687
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.183521,-0.204429,-0.230860,-0.179257,0.000200,1,8,29064,0.0,0.0,0.132816,0.132816
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.158277,-0.229673,-0.257251,-0.203147,0.000200,1,8,29064,0.0,0.0,0.266080,0.266080
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.214100,-0.173851,-0.197867,-0.150619,0.000200,1,12,43596,0.0,0.0,0.267919,0.267919
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.238999,-0.148951,-0.172930,-0.126106,0.000200,1,16,58128,0.0,0.0,0.266977,0.266977
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.224603,-0.163348,-0.185968,-0.141048,0.000200,1,16,58128,0.0,0.0,0.528252,0.528252
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.249240,-0.138711,-0.161345,-0.117538,0.000200,1,24,87192,0.0,0.0,0.529200,0.529200
mxbai-large,nfcorpus,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.259503,-0.128447,-0.150154,-0.107969,0.000200,1,32,116256,0.0,0.0,0.524935,0.524935
mxbai-large,nfcorpus,composed(truncate(keep_dim=64)+binary),0.097396,-0.290554,-0.321227,-0.260286,0.000200,1,8,29064,0.0,0.0,0.001000,0.001000
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.059072,-0.328878,-0.362540,-0.295569,0.000200,1,2,7266,0.0,0.0,0.068308,0.068308
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.142342,-0.245608,-0.277616,-0.214543,0.000200,1,3,10899,0.0,0.0,0.067538,0.067538
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.205647,-0.182303,-0.210873,-0.154072,0.000200,1,4,14532,0.0,0.0,0.067284,0.067284
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.098923,-0.289027,-0.320682,-0.257256,0.000200,1,4,14532,0.0,0.0,0.134996,0.134996
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.181138,-0.206813,-0.233888,-0.180871,0.000200,1,6,21798,0.0,0.0,0.133115,0.133115
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.230914,-0.157036,-0.182317,-0.132734,0.000200,1,8,29064,0.0,0.0,0.133077,0.133077
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.169569,-0.218381,-0.246493,-0.191933,0.000200,1,8,29064,0.0,0.0,0.266964,0.266964
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.231168,-0.156782,-0.180306,-0.133948,0.000200,1,12,43596,0.0,0.0,0.263168,0.263168
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.266055,-0.121895,-0.143683,-0.101456,0.000200,1,16,58128,0.0,0.0,0.264497,0.264497
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.250292,-0.137658,-0.160378,-0.115408,0.000200,1,16,58128,0.0,0.0,0.530510,0.530510
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.287437,-0.100513,-0.121044,-0.081523,0.000200,1,24,87192,0.0,0.0,0.530632,0.530632
mxbai-large,nfcorpus,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.305960,-0.081990,-0.100091,-0.065460,0.000200,1,32,116256,0.0,0.0,0.529903,0.529903
mxbai-large,nfcorpus,composed(truncate(keep_dim=128)+binary),0.175625,-0.212325,-0.239429,-0.186509,0.000200,1,16,58128,0.0,0.0,0.000984,0.000984
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.072130,-0.315820,-0.349162,-0.282529,0.000200,1,2,7266,0.0,0.0,0.067649,0.067649
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.144612,-0.243338,-0.274069,-0.212250,0.000200,1,3,10899,0.0,0.0,0.067331,0.067331
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.243274,-0.144676,-0.173575,-0.116767,0.000200,1,4,14532,0.0,0.0,0.067136,0.067136
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.112220,-0.275731,-0.306364,-0.243791,0.000200,1,4,14532,0.0,0.0,0.134326,0.134326
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.189244,-0.198706,-0.226949,-0.171199,0.000200,1,6,21798,0.0,0.0,0.134038,0.134038
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.274047,-0.113903,-0.140928,-0.087691,0.000200,1,8,29064,0.0,0.0,0.133977,0.133977
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.172937,-0.215013,-0.244460,-0.187840,0.000200,1,8,29064,0.0,0.0,0.266120,0.266120
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.247764,-0.140187,-0.164754,-0.116531,0.000200,1,12,43596,0.0,0.0,0.262607,0.262607
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.287522,-0.100428,-0.122818,-0.079598,0.000200,1,16,58128,0.0,0.0,0.265235,0.265235
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.260122,-0.127828,-0.151098,-0.105491,0.000200,1,16,58128,0.0,0.0,0.530828,0.530828
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.309279,-0.078671,-0.097660,-0.060528,0.000200,1,24,87192,0.0,0.0,0.521207,0.521207
mxbai-large,nfcorpus,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.336794,-0.051156,-0.066893,-0.036296,0.000200,1,32,116256,0.0,0.0,0.525472,0.525472
mxbai-large,nfcorpus,composed(truncate(keep_dim=256)+binary),0.253395,-0.134555,-0.157759,-0.112450,0.000200,1,32,116256,0.0,0.0,0.001288,0.001288
