backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.179029,-0.562593,-0.606055,-0.518305,0.000200,1,4,20732,0.0,0.0,0.144012,0.144012
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.268171,-0.473450,-0.517397,-0.428667,0.000200,1,6,31098,0.0,0.0,0.141776,0.141776
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.365129,-0.376492,-0.419002,-0.334766,0.000200,1,8,41464,0.0,0.0,0.142237,0.142237
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.317861,-0.423761,-0.467385,-0.379806,0.000200,1,8,41464,0.0,0.0,0.287310,0.287310
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.424603,-0.317019,-0.359101,-0.275934,0.000200,1,12,62196,0.0,0.0,0.287354,0.287354
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.491375,-0.250246,-0.290155,-0.210164,0.000200,1,16,82928,0.0,0.0,0.285947,0.285947
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.467402,-0.274219,-0.315794,-0.233050,0.000200,1,16,82928,0.0,0.0,0.568086,0.568086
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.530577,-0.211045,-0.249446,-0.172483,0.000200,1,24,124392,0.0,0.0,0.567251,0.567251
bge-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.541314,-0.200308,-0.238146,-0.163139,0.000200,1,32,165856,0.0,0.0,0.562607,0.562607
bge-base,scifact,composed(truncate(keep_dim=64)+binary),0.154665,-0.586957,-0.631739,-0.541733,0.000200,1,8,41464,0.0,0.0,0.000907,0.000907
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.057259,-0.684363,-0.724029,-0.643364,0.000200,1,2,10366,0.0,0.0,0.071998,0.071998
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.182387,-0.559234,-0.603435,-0.513125,0.000200,1,3,15549,0.0,0.0,0.072001,0.072001
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.305583,-0.436038,-0.479973,-0.392081,0.000200,1,4,20732,0.0,0.0,0.071786,0.071786
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.167639,-0.573982,-0.617423,-0.528844,0.000200,1,4,20732,0.0,0.0,0.143692,0.143692
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.319401,-0.422221,-0.466935,-0.376015,0.000200,1,6,31098,0.0,0.0,0.142471,0.142471
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.400375,-0.341247,-0.382457,-0.299532,0.000200,1,8,41464,0.0,0.0,0.142960,0.142960
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.361283,-0.380339,-0.422558,-0.336954,0.000200,1,8,41464,0.0,0.0,0.286325,0.286325
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.469950,-0.271671,-0.312095,-0.231911,0.000200,1,12,62196,0.0,0.0,0.280821,0.280821
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.543002,-0.198619,-0.236879,-0.162174,0.000200,1,16,82928,0.0,0.0,0.282501,0.282501
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.507750,-0.233871,-0.273667,-0.194454,0.000200,1,16,82928,0.0,0.0,0.569821,0.569821
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.562669,-0.178953,-0.214944,-0.144294,0.000200,1,24,124392,0.0,0.0,0.569682,0.569682
bge-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.632052,-0.109569,-0.139295,-0.079573,0.000200,1,32,165856,0.0,0.0,0.571044,0.571044
bge-base,scifact,composed(truncate(keep_dim=128)+binary),0.347284,-0.394337,-0.440605,-0.349606,0.000200,1,16,82928,0.0,0.0,0.001017,0.001017
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.068510,-0.673111,-0.713867,-0.630586,0.000200,1,2,10366,0.0,0.0,0.072612,0.072612
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.141619,-0.600002,-0.642370,-0.555058,0.000200,1,3,15549,0.0,0.0,0.072500,0.072500
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.277336,-0.464286,-0.510304,-0.418454,0.000200,1,4,20732,0.0,0.0,0.072630,0.072630
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.172515,-0.569106,-0.613572,-0.521850,0.000200,1,4,20732,0.0,0.0,0.142959,0.142959
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.281593,-0.460028,-0.504484,-0.414618,0.000200,1,6,31098,0.0,0.0,0.142958,0.142958
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.437309,-0.304313,-0.350009,-0.260825,0.000200,1,8,41464,0.0,0.0,0.142801,0.142801
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.305847,-0.435775,-0.481717,-0.389938,0.000200,1,8,41464,0.0,0.0,0.285082,0.285082
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.464588,-0.277033,-0.314454,-0.238430,0.000200,1,12,62196,0.0,0.0,0.283301,0.283301
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.548763,-0.192859,-0.230721,-0.156012,0.000200,1,16,82928,0.0,0.0,0.284140,0.284140
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.506332,-0.235289,-0.275292,-0.197793,0.000200,1,16,82928,0.0,0.0,0.569335,0.569335
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.581842,-0.159780,-0.195299,-0.126296,0.000200,1,24,124392,0.0,0.0,0.559997,0.559997
bge-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.602828,-0.138794,-0.169498,-0.109221,0.000200,1,32,165856,0.0,0.0,0.563249,0.563249
bge-base,scifact,composed(truncate(keep_dim=256)+binary),0.511647,-0.229975,-0.270730,-0.190104,0.000200,1,32,165856,0.0,0.0,0.001008,0.001008
